ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
019401.OF,20240830,20240630,003006.SZ,22019670.0,929100.0,1.44,0.22,2024Q4,019401.OF
019401.OF,20240830,20240630,002752.SZ,22692582.0,4484700.0,1.49,0.46,2024Q4,019401.OF
019401.OF,20240830,20240630,600529.SH,23429364.0,924600.0,1.54,0.14,2024Q4,019401.OF
019401.OF,20240830,20240630,000600.SZ,27854820.0,4421400.0,1.83,0.41,2024Q4,019401.OF
019401.OF,20240830,20240630,688239.SH,28019776.8,805166.0,1.84,0.77,2024Q4,019401.OF
019401.OF,20240830,20240630,2057.HK,29372962.98,196000.0,1.92,,2024Q4,019401.OF
019401.OF,20240830,20240630,601156.SH,29664195.0,1457700.0,1.94,0.18,2024Q4,019401.OF
019401.OF,20240830,20240630,601111.SH,30526255.62,4136349.0,2.0,0.04,2024Q4,019401.OF
019401.OF,20240830,20240630,002098.SZ,34349440.0,6112000.0,2.25,1.71,2024Q4,019401.OF
019401.OF,20240830,20240630,600029.SH,34557219.0,5867100.0,2.26,0.05,2024Q4,019401.OF
019401.OF,20240830,20240630,2469.HK,35594451.55,9352500.0,2.33,,2024Q4,019401.OF
019401.OF,20240718,20240630,301035.SZ,88509620.76,1987194.0,5.8,2.22,2024Q4,019401.OF
019401.OF,20240718,20240630,002749.SZ,86154760.0,5728375.0,5.65,1.37,2024Q4,019401.OF
019401.OF,20240718,20240630,300218.SZ,46977216.0,3115200.0,3.08,1.44,2024Q4,019401.OF
019401.OF,20240718,20240630,002533.SZ,40281580.0,4048400.0,2.64,0.65,2024Q4,019401.OF
019401.OF,20240718,20240630,002311.SZ,58070568.55,1234231.0,3.81,0.07,2024Q4,019401.OF
019401.OF,20240718,20240630,601991.SH,44338203.0,14730300.0,2.91,0.12,2024Q4,019401.OF
019401.OF,20240718,20240630,600027.SH,46541722.0,6706300.0,3.05,0.08,2024Q4,019401.OF
019401.OF,20240718,20240630,605166.SH,83765209.56,7985244.0,5.49,2.53,2024Q4,019401.OF
019401.OF,20240718,20240630,1071.HK,56241568.54,13028000.0,3.69,0.76,2024Q4,019401.OF
019401.OF,20240718,20240630,0991.HK,36882001.17,24198000.0,2.42,0.4,2024Q4,019401.OF
019401.OF,20240718,20240630,0902.HK,53277494.21,10082000.0,3.49,0.21,2024Q4,019401.OF
019401.OF,20240718,20240630,600011.SH,42951376.0,4464800.0,2.81,0.04,2024Q4,019401.OF
019401.OF,20240718,20240630,000543.SZ,57179407.5,6460950.0,3.75,0.29,2024Q4,019401.OF
019401.OF,20240420,20240331,301035.SZ,80956962.0,1215570.0,6.36,1.36,2024Q4,019401.OF
019401.OF,20240420,20240331,002749.SZ,43716467.52,2883672.0,3.43,0.75,2024Q4,019401.OF
019401.OF,20240420,20240331,300218.SZ,45040568.0,3371300.0,3.54,1.56,2024Q4,019401.OF
019401.OF,20240420,20240331,002311.SZ,50870717.1,1153531.0,3.99,0.07,2024Q4,019401.OF
019401.OF,20240420,20240331,601991.SH,49386322.0,16855400.0,3.88,0.14,2024Q4,019401.OF
019401.OF,20240420,20240331,601111.SH,36578467.7,5010749.0,2.87,0.05,2024Q4,019401.OF
019401.OF,20240420,20240331,600027.SH,48906843.0,7118900.0,3.84,0.08,2024Q4,019401.OF
019401.OF,20240420,20240331,605166.SH,52579222.8,5284344.0,4.13,1.67,2024Q4,019401.OF
019401.OF,20240420,20240331,1071.HK,28435155.53,7486000.0,2.23,0.09,2024Q4,019401.OF
019401.OF,20240420,20240331,0753.HK,13951804.5,4050000.0,1.1,0.04,2024Q4,019401.OF
019401.OF,20240420,20240331,0991.HK,9863753.54,7942000.0,0.77,0.06,2024Q4,019401.OF
019401.OF,20240420,20240331,0902.HK,38164413.31,9132000.0,3.0,0.08,2024Q4,019401.OF
019401.OF,20240420,20240331,600011.SH,43808352.0,4670400.0,3.44,0.04,2024Q4,019401.OF
019401.OF,20240420,20240331,000543.SZ,53755104.0,6460950.0,4.22,0.29,2024Q4,019401.OF
019401.OF,20240329,20231231,688665.SH,4600189.92,62367.0,0.84,0.29,2024Q4,019401.OF
019401.OF,20240329,20231231,000933.SZ,5310480.0,316100.0,0.96,0.01,2024Q4,019401.OF
019401.OF,20240329,20231231,000338.SZ,7446075.0,545500.0,1.35,0.01,2024Q4,019401.OF
019401.OF,20240329,20231231,000600.SZ,7902273.0,1577300.0,1.43,0.14,2024Q4,019401.OF
019401.OF,20240329,20231231,600115.SH,8565876.0,2207700.0,1.55,0.02,2024Q4,019401.OF
019401.OF,20240329,20231231,002749.SZ,9020592.58,752971.0,1.64,0.2,2024Q4,019401.OF
019401.OF,20240329,20231231,601107.SH,10216847.0,2327300.0,1.85,0.11,2024Q4,019401.OF
019401.OF,20240329,20231231,600529.SH,21944320.0,857200.0,3.98,0.13,2024Q4,019401.OF
019401.OF,20240329,20231231,000543.SZ,24637169.0,3935650.0,4.47,0.17,2024Q4,019401.OF
019401.OF,20240329,20231231,002311.SZ,26303787.0,585700.0,4.77,0.04,2024Q4,019401.OF
019401.OF,20240120,20231231,1055.HK,8416844.49,2806000.0,1.53,0.02,2024Q4,019401.OF
019401.OF,20240120,20231231,600029.SH,19687104.0,3417900.0,3.57,0.03,2024Q4,019401.OF
019401.OF,20240120,20231231,002533.SZ,32017808.0,3962600.0,5.81,0.63,2024Q4,019401.OF
019401.OF,20240120,20231231,002353.SZ,32970219.0,1172900.0,5.98,0.17,2024Q4,019401.OF
019401.OF,20240120,20231231,300910.SZ,34602008.0,753200.0,6.28,0.37,2024Q4,019401.OF
019401.OF,20240120,20231231,300218.SZ,34713745.0,2561900.0,6.3,1.18,2024Q4,019401.OF
019401.OF,20240120,20231231,1071.HK,12873924.44,4094000.0,2.34,0.05,2024Q4,019401.OF
019401.OF,20240120,20231231,600027.SH,23254388.0,4524200.0,4.22,0.05,2024Q4,019401.OF
019401.OF,20240120,20231231,603167.SH,40132272.0,4519400.0,7.28,0.96,2024Q4,019401.OF
019401.OF,20240120,20231231,0753.HK,16635516.79,3716000.0,3.02,0.03,2024Q4,019401.OF
019401.OF,20240120,20231231,601111.SH,27760973.66,3782149.0,5.04,0.03,2024Q4,019401.OF
019401.OF,20240120,20231231,0902.HK,26532381.66,7072000.0,4.82,0.06,2024Q4,019401.OF
019401.OF,20240120,20231231,600011.SH,31401370.0,4078100.0,5.7,0.04,2024Q4,019401.OF
019401.OF,20240120,20231231,301035.SZ,83962900.0,1199470.0,15.24,1.34,2024Q4,019401.OF
