ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
021286.OF,20260122,20251231,603119.SH,10017022.0,86600.0,2.31,0.04
021286.OF,20260122,20251231,688981.SH,10412176.27,84769.0,2.41,0.0
021286.OF,20260122,20251231,002472.SZ,11458997.0,241700.0,2.65,0.03
021286.OF,20260122,20251231,603259.SH,11520344.0,127100.0,2.66,0.01
021286.OF,20260122,20251231,601689.SH,12117260.0,157000.0,2.8,0.01
021286.OF,20260122,20251231,601601.SH,12359259.0,294900.0,2.86,0.0
021286.OF,20260122,20251231,300115.SZ,13001400.0,279600.0,3.0,0.02
021286.OF,20260122,20251231,601100.SH,13002462.91,118301.0,3.0,0.01
021286.OF,20260122,20251231,300750.SZ,13845702.0,37700.0,3.2,0.0
021286.OF,20260122,20251231,002050.SZ,14806487.0,267700.0,3.42,0.01
021286.OF,20251028,20250930,300750.SZ,10408986.0,25893.0,3.63,0.0
021286.OF,20251028,20250930,603993.SH,9440410.0,601300.0,3.29,0.0
021286.OF,20251028,20250930,601211.SH,17760444.0,941200.0,6.19,0.01
021286.OF,20251028,20250930,302132.SZ,13747875.0,152500.0,4.79,0.03
021286.OF,20251028,20250930,601899.SH,14934912.0,507300.0,5.21,0.0
021286.OF,20251028,20250930,002049.SZ,8453016.0,93600.0,2.95,0.01
021286.OF,20251028,20250930,600941.SH,8793120.0,84000.0,3.07,0.01
021286.OF,20251028,20250930,600988.SH,11278854.0,381300.0,3.93,0.02
021286.OF,20251028,20250930,600547.SH,10855080.0,276000.0,3.78,0.01
021286.OF,20251028,20250930,600760.SH,13712347.0,190900.0,4.78,0.01
021286.OF,20250830,20250630,600362.SH,3978414.0,169800.0,1.66,0.01
021286.OF,20250830,20250630,600150.SH,2993680.0,92000.0,1.25,0.0
021286.OF,20250830,20250630,600111.SH,2021880.0,81200.0,0.84,0.0
021286.OF,20250830,20250630,600036.SH,5003955.0,108900.0,2.09,0.0
021286.OF,20250830,20250630,000831.SZ,2029944.0,56200.0,0.85,0.01
021286.OF,20250830,20250630,600879.SH,3937767.0,376100.0,1.64,0.01
021286.OF,20250830,20250630,600050.SH,2926320.0,548000.0,1.22,0.0
021286.OF,20250830,20250630,600392.SH,1999206.0,151800.0,0.83,0.01
021286.OF,20250830,20250630,600547.SH,1631623.0,51100.0,0.68,0.0
021286.OF,20250830,20250630,600900.SH,1027774.0,34100.0,0.43,0.0
021286.OF,20250830,20250630,600438.SH,2159075.0,128900.0,0.9,0.0
021286.OF,20250830,20250630,600916.SH,2482863.0,303900.0,1.04,0.02
021286.OF,20250830,20250630,600988.SH,4483376.0,180200.0,1.87,0.01
021286.OF,20250830,20250630,688256.SH,5792445.0,9630.0,2.42,0.0
021286.OF,20250830,20250630,688017.SH,2973131.34,23806.0,1.24,0.01
021286.OF,20250830,20250630,688183.SH,2140108.8,41799.0,0.89,0.01
021286.OF,20250830,20250630,688981.SH,6066096.0,68800.0,2.53,0.0
021286.OF,20250830,20250630,600941.SH,6854295.0,60900.0,2.86,0.01
021286.OF,20250830,20250630,002049.SZ,1383060.0,21000.0,0.58,0.0
021286.OF,20250830,20250630,601666.SH,2483832.0,335200.0,1.04,0.01
